date,Tripura,Eastern Grid Total,Western Grid Total,Total (MW),Gas (Public),HVDC,Gas (Private),Oil (Private),Coal,Hydro,Oil (Public)
1/1/2018 0:00,90,4328,1345,5673,3015,460,1715,292,169,79,200
1/1/2018 1:00,84,3944,1239,5183,2557,323,1649,238,179,75,92
1/1/2018 2:00,82,3890,1018,4908,2495,208,1639,233,180,73,16
1/1/2018 3:00,80,3852,934,4786,2407,208,1606,233,177,73,16
1/1/2018 4:00,68,3656,943,4599,2326,208,1512,215,185,73,16
1/1/2018 5:00,70,3676,918,4594,2406,208,1472,170,186,72,16
1/1/2018 6:00,66,3922,940,4862,2623,208,1524,184,176,63,16
1/1/2018 7:00,60,4219,972,5191,2667,208,1620,309,183,71,65
1/1/2018 8:00,62,4521.1,1074,5595,2830,207,1742,410,181,71,82
1/1/2018 9:00,62,4688.5,1238,5927,2679,312,1835,624,202,74,132
1/1/2018 10:00,72,4355.3,1365,5720,2492,450,1684,569,250,74,132
1/1/2018 11:00,74,4365.7,1385,5751,2485,451,1710,569,260,74,132
1/1/2018 12:00,74,4381.7,1423,5805,2464,451,1797,540,275,74,132
1/1/2018 13:00,76,4481.9,1387,5869,2497,451,1795,578,275,73,132
1/1/2018 14:00,78,4233.5,1336,5570,2200,451,1711,665,275,71,131
1/1/2018 15:00,76,4231.5,1340,5572,2151,451,1754,671,275,70,131
1/1/2018 16:00,78,4285.9,1263,5549,2089,451,1817,650,275,70,132
1/1/2018 17:00,72,4518,1396,5914,2175,451,1891,790,275,70,190
1/1/2018 18:00,74,5371,1937,7308,2667,450,2056,1215,275,70,467
1/1/2018 19:00,90,5704,1947,7651,2741,451,2126,1372,275,74,500
1/1/2018 20:00,92,5554,1929,7483,2717,451,2116,1403,275,74,475
1/1/2018 21:00,92,5223,1983,7206,2719,452,2099,1308,275,76,444
1/1/2018 22:00,90,4809,1800,6609,2803,451,2070,1038,274,76,390
1/1/2018 23:00,84,4570,1601,6171,2636,451,1987,824,275,76,264
1/2/2018 0:00,90,4158,1393,5551,2586,464,2020,362,280,76,31
1/2/2018 1:00,84,3900,1140,5040,2271,260,1849,228,280,70,16
1/2/2018 2:00,82,3586,1093,4679,2229,260,1613,145,280,70,16
1/2/2018 3:00,80,3501,1095,4596,2258,259,1520,127,280,70,16
1/2/2018 4:00,68,3429,1063,4492,2216,260,1467,117,280,70,16
1/2/2018 5:00,70,3434,1038,4472,2246,259,1423,117,275,70,16
1/2/2018 6:00,66,3604,1109,4713,2324,259,1567,129,280,70,16
1/2/2018 7:00,60,3992,1119,5111,2430,259,1711,221,280,74,66
1/2/2018 8:00,62,4412.1,1241,5653,2535,258,1944,415,280,72,83
1/2/2018 9:00,62,4514.2,1292,5806,2582,318,1908,481,280,75,98
1/2/2018 10:00,72,4373.4,1368,5741,2436,502,1834,452,280,75,98
1/2/2018 11:00,74,4322.5,1362,5685,2404,502,1782,462,280,75,115
1/2/2018 12:00,74,4424.5,1419,5844,2513,501,1853,442,280,71,115
1/2/2018 13:00,76,4472.6,1456,5929,2460,501,1858,540,280,71,149
1/2/2018 14:00,78,4311,1387,5698,2319,502,1759,548,280,70,149
1/2/2018 15:00,76,4240.3,1505,5745,2386,502,1738,551,280,70,149
1/2/2018 16:00,78,4176.3,1506,5682,2305,501,1761,552,280,70,149
1/2/2018 17:00,72,4523,1582,6105,2260,502,1822,782,280,70,315
1/2/2018 18:00,74,5345,1945,7290,2569,502,2081,1217,280,70,467
1/2/2018 19:00,90,5777,2005,7782,2757,501,2415,1183,280,70,466
1/2/2018 20:00,92,5780,1896,7676,2784,502,2410,1165,280,72,403
1/2/2018 21:00,92,5473,1809,7282,2781,501,2397,1165,280,72,374
1/2/2018 22:00,90,5071,1661,6732,2823,502,2428,909,280,72,164
1/2/2018 23:00,84,4454,1467,5921,2763,502,2292,614,280,72,113
1/3/2018 0:00,90,4022,1433,5455,2451,502,2002,303,281,72,32
1/3/2018 1:00,84,3959,1171,5130,2323,266,1781,301,281,74,32
1/3/2018 2:00,82,3713,1076,4789,2269,256,1614,272,220,74,16
